"","SECTION_DESCR","PARAGRAPH_DESCR","BNF_CHEMICAL_SUBSTANCE","CHEMICAL_SUBSTANCE_BNF_DESCR"
"481","Wound management products","Medicated stockings","1313010S0","Medicated stockings"
"482","Anti-infective skin preparations","Antifungal preparations","1310020L0","Ketoconazole"
"483","Skin cleansers,antiseptics and desloughing agents","Desloughing agents","1311070K0","Becaplermin"
"484","Skin cleansers,antiseptics and desloughing agents","Desloughing agents","1311070R0","Streptokinase and streptodornase"
"485","Oral nutrition","Non-ACBS probiotic","0913531D0","Tablet OTC probiotic (0913531)"
"486","Antiviral drugs","HIV infection","0503010AG","Rilpivirine"
"487","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010T0","Zuclopenthixol hydrochloride"
"488","Irrigation Washout Appliances","Irrigation Washout Appliances","2370","Irrigation Washout Appliances"
"489","Laxatives","Osmotic laxatives","0106040L0","Magnesium sulfate"
"490","Antiepileptic drugs","Control of epilepsy","0408010K0","Mesuximide"
"491","Shampoos and other preparations for scalp and hair conditions","Shampoo and other preparations for scalp and hair conditions","1309000Y0","Ritlecitinib"
"492","Anti-infective eye preparations","Antibacterials","1103010AI","Azithromycin"
"493","Metabolic disorders","Drugs used in metabolic disorders","0908010AE","Agalsidase beta"
"494","Drugs acting on the ear","Removal of ear wax and other substances","1201030N0","Urea hydrogen peroxide"
"495","Antidepressant drugs","Tricyclic and related antidepressant drugs","0403010L0","Doxepin"
"496","Anaemias and some other blood disorders","Iron-deficiency anaemias","0901011X0","Ferrous calcium citrate"
"497","Oral nutrition (OLD - DO NOT USE)","Enteral nutrition","090402000","Enteral nutrition"
"498","Hypnotics and anxiolytics","Barbiturates","0401030E0","Amobarbital sodium"
"499","Drugs for genito-urinary disorders","Drugs for erectile dysfunction","0704050B0","Alprostadil"
"500","Oral nutrition","ONS - Standard","0913011F0","Powder 2.3 - 2.4 kcal/ml milkshake lower volume (0913011)"
"501","Oral nutrition","Inherited metabolic disorder - Protein source","0913205A0","Powder 10g GMP protein equivalent (0913205)"
"502","Minerals","Fluoride","0905030M0","Stannous fluoride"
"503","Cough preparations","Expectorant and demulcent cough preparations","0309020Q0","Pseudoephedrine hydrochloride combinations"
"504","Enteral nutrition","Tube feed - Standard","0914011A0","Tube feed 0.8 kcal/ml with fibre, higher protein (0914011)"
"505","Laxatives","Faecal softeners","0106030P0","Liquid paraffin"
"506","Antiviral drugs","HIV infection","0503010AH","Dolutegravir"
"507","Anaemias and some other blood disorders","Iron-deficiency anaemias","090101100","Other oral iron preparations"
"508","Enteral nutrition","Tube feed - Condition specific (paed)","0914041C0","Tube feed 1.5 kcal/ml peptide based (0914041)"
"509","Anti-infective skin preparations","Preparations for minor cuts and abrasions","1310050T0","Proflavine hemisulphate"
"510","Drugs acting on the nose","Drugs used in nasal allergy","1202010Z0","Mometasone furoate/olopatadine hydrochloride"
"511","Oral nutrition","Inherited metabolic disorder - Protein source","0913205C0","Powder 15g GMP protein equivalent (0913205)"
"512","Corticosteroids and other anti-inflammatory preparations","Other anti-inflammatory preparations","1104020T0","Sodium cromoglicate"
"513","Anti-infective skin preparations","Antifungal preparations","1310020V0","Salicylic acid"
"514","Oral nutrition","ONS - Dysphagia specific","0913051D0","Ready to serve 2.4 kcal/ml milkshake lower volume (0913051)"
"515","Drugs acting on the oropharynx","Drugs for oral ulceration and inflammation","1203010U0","Doxycycline hyclate"
"516","Drugs used in substance dependence","Opioid dependence","0410030B0","Buprenorph hydrochloride/naloxone hydrochloride"
"517","Preparations for eczema and psoriasis","Preparations for psoriasis","1305020L0","Methoxsalen"
"518","Mydriatics and cycloplegics","Mydriatics and cycloplegics","1105000T0","Phenylephrine hydrochloride and tropicamide"
"519","Antiviral drugs","HIV infection","0503010AX","Fostemsavir"
"520","Selective preparations","Poisoning antidotes","1902070D0","Dimercaprol"
"521","Sympathomimetics and other vasoconstrictor drugs","Vasoconstrictor sympathomimetics","0207020X0","Phenylephrine hydrochloride"
"522","Drugs used in diabetes","Insulin","0601011Q0","Insulin human inhaled"
"523","Drugs used in neuromuscular disorders","Skeletal muscle relaxants","1002020Y0","Dronabinol/cannabidiol"
"524","Cytotoxic drugs","Other antineoplastic drugs","0801050L0","Dacarbazine"
"525","Antiviral drugs","HIV infection","0503010L0","Atazanavir"
"526","Beta-adrenoceptor blocking drugs","Beta-adrenoceptor blocking drugs","020400010","Pindolol with diuretic"
"527","Metabolic disorders","Drugs used in metabolic disorders","0908010AI","Cystine"
"528","Oral nutrition","Ketogenic diet","0913181F0","Ready to serve 2.5:1 milkshake with fibre (0913181)"
"529","Sex hormones and hormone antagonists in malignant disease","Hormone antagonists","0803042T0","Abiraterone"
"530","Preparations for eczema and psoriasis","Preparations for psoriasis","1305020P0","Coal tar bath preparations"
"531","Antiviral drugs","HIV infection","0503010AE","Raltegravir"
"532","Drugs for soft-tissue disorders and topical pain relief","Enzymes","1003010U0","Hyaluronic acid sodium"
"533","Antiepileptic drugs","Drugs used in status epilepticus","0408020D0","Clonazepam"
"534","Anti-infective skin preparations","Antifungal preparations","1310020J0","Econazole nitrate"
"535","Analgesics","Neuropathic pain","0407030AD","Gabapentin (Neuropathic Pain)"
"536","Oral nutrition","ONS - Condition specific (paed)","0913091C0","Ready to serve 1.5 kcal/ml milkshake (0913091)"
"537","Other endocrine drugs","Drugs affecting gonadotrophins","0607020D0","Cetrorelix"
"538","Drugs used in rheumatic diseases and gout","Rheumatic disease suppressant drugs","1001030AE","Upadacitinib"
"539","Oral nutrition","ONS - Standard (paed)","0913021D0","Ready to serve 1.5 kcal/ml juice style (0913021)"
"540","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000Z0","Dolasetron mesilate"
"541","Oral nutrition (OLD - DO NOT USE)","Foods for special diets","0904010AC","Gluten free/wheat free cereals"
"542","Nitrates, calcium-channel blockers & other antianginal drugs","Peripheral vasodilators and related drugs","0206040AL","Acetyl-l-carnitine"
"543","Other endocrine drugs","Drugs affecting gonadotrophins","0607020F0","Gestrinone"
"544","Cough preparations","Expectorant and demulcent cough preparations","030902030","Pholcodine"
"545","Antidepressant drugs","Selective serotonin re-uptake inhibitors","0403030Z0","Citalopram hydrochloride"
"546","Oral nutrition (OLD - DO NOT USE)","Foods for special diets","0904010G0","Fructose"
"547","Antiepileptic drugs","Control of epilepsy","0408010AN","Cenobamate"
"548","Drugs acting on the ear","Otitis externa","120101000","Other otitis external preparations"
"549","Lipid-regulating drugs","Lipid-regulating drugs","0212000D0","Bezafibrate"
"550","Antibacterial drugs","Urinary-tract infections","0501130S0","Fosfomycin calcium"
"551","Oral nutrition","ONS - Standard","0913011N0","Ready to serve 1.5 kcal/ml milkshake (0913011)"
"552","Contraceptives","Progestogen-only contraceptives","0703021N0","Norethisterone"
"553","Preparations for eczema and psoriasis","Preparations for psoriasis","1305020T0","Tazarotene"
"554","Preparations for warts and calluses","Preparations for warts and calluses","1307000Q0","Silver nitrate"
"555","Corticosteroids (endocrine)","Glucocorticoid therapy","0603020K0","Methylprednisolone sodium succinate"
"556","Enteral nutrition","Tube feed - Standard (paed)","0914021F0","Tube feed 1.5 kcal/ml with fibre (0914021)"
"557","Laxatives","Osmotic laxatives","0106040J0","Magnesium hydroxide"
"558","Skin cleansers,antiseptics and desloughing agents","Chlorhexidine salts","1311020G0","Chlorhexidine acetate"
"559","Cough preparations","Expectorant and demulcent cough preparations","0309020T0","Ipecacuanha"
"560","Cytotoxic drugs","Other antineoplastic drugs","0801050CE","Inotuzumab"
"561","Analgesics","Opioid analgesics","0407020L0","Meptazinol hydrochloride"
"562","Antiviral drugs","Viral hepatitis","0503032B0","Telaprevir"
"563","Sympathomimetics and other vasoconstrictor drugs","Vasoconstrictor sympathomimetics","0207020R0","Noradrenaline acid tartrate"
"564","Skin cleansers,antiseptics and desloughing agents","Desloughing agents","1311070J0","Hydrogen peroxide"
"565","Oral nutrition","Inherited metabolic disorder - Protein source","0913203C0","Powder 77g protein equivalent per 100g (0913203)"
"566","Beta-adrenoceptor blocking drugs","Beta-adrenoceptor blocking drugs","0204000I0","Labetalol hydrochloride"
"567","Cytotoxic drugs","Other antineoplastic drugs","0801050CL","Abemaciclib"
"568","Antibacterial drugs","Cephalosporins and other beta-lactams","0501021K0","Cefuroxime axetil"
"569","Topical local anaesthetics and antipruritics","Topical local anaesthetics and antipruritics","1303000AA","Menthol"
"570","Drugs acting on the ear","Otitis externa","1201010Q0","Hydrocortisone"
"571","Treatment of glaucoma","Treatment of glaucoma","1106000AD","Latanoprost and timolol"
"572","Drugs used in diabetes","Antidiabetic drugs","0601021M0","Gliclazide"
"573","Antiepileptic drugs","Drugs used in status epilepticus","0408020Q0","Paraldehyde"
"574","Drugs acting on the oropharynx","Lozenges and sprays","1203030D0","Cetylpyridinium chloride"
"575","Nitrates, calcium-channel blockers & other antianginal drugs","Peripheral vasodilators and related drugs","0206040AM","Co-dergocrine mesilate"
"576","Surgical Sutures","Surgical Sutures","2011","Surgical Sutures"
"577","Cytotoxic drugs","Other antineoplastic drugs","0801050CA","Pembrolizumab"
"578","Treatment of glaucoma","Treatment of glaucoma","1106000AL","Brinzolamide/brimonidine"
"579","Drugs used in psychoses and related disorders","Antipsychotic depot injections","0402020G0","Flupentixol decanoate"
"580","Drugs for genito-urinary disorders","Drugs for premature ejaculation","0704060B0","Lidocaine/prilocaine (Premature Ejaculation)"
"581","Minerals","Calcium and magnesium","0905011R0","Calcium lactate"
"582","Shampoos and other preparations for scalp and hair conditions","Shampoo and other preparations for scalp and hair conditions","1309000F0","Alkyl sulfate"
"583","Cytotoxic drugs","Drugs for cytotoxic-induced side-effects","0801000V0","Amifostine"
"584","Lipid-regulating drugs","Lipid-regulating drugs","0212000L0","Ezetimibe"
"585","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000AE","Fosaprepitant"
"586","Drugs used in diabetes","Antidiabetic drugs","0601023AK","Alogliptin"
"587","Hypertension and heart failure","Renin-angiotensin system drugs","0205051Z0","Perindopril arginine with diuretic"
"588","Sex Hormones","Male sex hormones and antagonists","0604020D0","Cyproterone acetate"
"589","Treatment of vaginal and vulval conditions","Vaginal and vulval infections","0702020E0","Clindamycin phosphate"
"590","Metabolic disorders","Drugs used in metabolic disorders","0908010AJ","Zinc acetate"
"591","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000G0","Cyclizine lactate"
"592","Oral nutrition","Infant follow on formula - Condition specific","0913132A0","Powder extensively hydrolysed formula (0913132)"
"593","Cough preparations","Cough suppressants","0309010S0","Methadone hydrochloride"
"594","Oral nutrition","Non-ACBS condition specific complete infant formula","0913354A0","Powder disc infant formula for malabsorption (0913354)"
"595","Oral nutrition","Non-ACBS energy and protein fortifier","0913392A0","RtS discontinued energy (carbohydrate) liquid (0913392)"
"596","Antiprotozoal drugs","Antimalarials","0504010U0","Proguanil hydrochloride with atovaquone"
"597","Corticosteroids and other anti-inflammatory preparations","Other anti-inflammatory preparations","1104020B0","Antazoline"
"598","Antiepileptic drugs","Control of epilepsy","0408010AE","Pregabalin"
"599","Drugs affecting bone metabolism","Bisphosphonates and other drugs","0606020C0","Etidronate disodium"
"600","Cytotoxic drugs","Vinca alkaloids and etoposide","0801040R0","Vinorelbine"
"601","Oral nutrition","ONS - Standard","0913011J0","RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011)"
"602","Local anaesthesia","Local anaesthetics","1502010G0","Cocaine"
"603","Drugs acting on the nose","Nasal preparations for infection","1202030D0","Fusafungine"
"604","Other gases","Other gases","191500000","Other gas preparations"
"605","Acute diarrhoea","Adsorbents and bulk-forming drugs","010401000","Other adsorbent and bulk-forming preparations"
"606","Cough preparations","Expectorant and demulcent cough preparations","0309020H0","Glycerol"
"607","Oral nutrition (OLD - DO NOT USE)","Foods for special diets","0904010AD","Gluten free/wheat free cakes/pastries"
"608","Oral nutrition","Inherited metabolic disorder - Protein source (paed)","0913224A0","Powder 5g protein equivalent (0913224)"
"609","Emollient and barrier preparations","Dusting-powders","130203000","Other dusting powder preparations"
"610","Antisecretory drugs and mucosal protectants","Proton pump inhibitors","0103050A0","Helicobacter pylori eradication therapy"
"611","Drugs used in diabetes","Antidiabetic drugs","0601023AV","Saxagliptin/dapagliflozin"
"612","Preparations for eczema and psoriasis","Preparations for eczema","1305010AE","Zinc paste and ichthammol"
"613","Laxatives","Other drugs used in constipation","0106070A0","Prucalopride"
"614","Drugs for soft-tissue disorders and topical pain relief","Rubefacients, topical NSAIDs, capsaicin and poultices","1003020W0","Heparinoid"
"615","Anticoagulants and protamine","Parenteral anticoagulants","0208010C0","Danaparoid sodium"
"616","Anticoagulants and protamine","Oral anticoagulants","020802000","Other oral anticoagulant preparations"
"617","Oral nutrition","Inherited metabolic disorder - Protein source","0913205Q0","Tablets 71g protein equivalent per 100g (0913205)"
"618","Bitters and tonics","Bitters and tonics","090700000","Other bitter and tonic preparations"
"619","Selective preparations","Homeopathic preparations","190203000","Other homeopathic preparations"
"620","Antifungal drugs","Other antifungals","0502050B0","Griseofulvin"
"621","Hypertension and heart failure","Renin-angiotensin system drugs","0205051U0","Trandolapril"
"622","Treatment of glaucoma","Treatment of glaucoma","1106000AF","Bimatoprost"
"623","Miscellaneous ophthalmic preparations","Tear deficiency, eye lubricant and astringent","1108010S0","Hypromellose with phenylephrine"
"624","Cytotoxic drugs","Alkylating drugs","0801010B0","Busulfan"
"625","Vaccines and antisera","Vaccines and antisera","1404000AT","Coronavirus vaccine"
"626","Oral nutrition","Food - Gluten free","0913271A0","Specialist food replacer bread (0913271)"
"627","Enteral nutrition","Tube feed - Standard","0914011C0","Tube feed 1 kcal/ml with fibre (0914011)"
"628","Drugs affecting bone metabolism","Calcitonin and parathyroid hormone","0606010T0","Calcitonin (Salmon)"
"629","Drugs for genito-urinary disorders","Drugs for urinary retention","0704010A0","Alfuzosin hydrochloride"
"630","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010AH","Celecoxib"
"631","Skin cleansers,antiseptics and desloughing agents","Desloughing agents","1311070S0","Ster larvae"
"632","Cytotoxic drugs","Other antineoplastic drugs","0801050D0","Docetaxel"
"633","Miscellaneous ophthalmic preparations","Tear deficiency, eye lubricant and astringent","1108010H0","Hyetellose"
"634","Drugs acting on the nose","Topical nasal decongestants","1202020K0","Phenylephrine hydrochloride"
"635","Antibacterial drugs","Cephalosporins and other beta-lactams","0501021L0","Cefalexin"
"636","Metabolic disorders","Drugs used in metabolic disorders","0908010E0","Mercaptamine"
"637","Drugs used in diabetes","Insulin","0601011R0","Insulin human"
"638","Drugs used in rheumatic diseases and gout","Rheumatic disease suppressant drugs","1001030AD","Sarilumab"
"639","Drugs used in obstetrics","Myometrial relaxants","0701030V0","Atosiban"
"640","Oral nutrition","ONS - Standard","0913011T0","RtS 2 - 2.4 kcal/ml m/sk lower volume with fibre (0913011)"
"641","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000D0","Cinnarizine"
"642","Mucolytics","Mucolytics","0307000L0","Mecysteine hydrochloride"
"643","Topical local anaesthetics and antipruritics","Topical local anaesthetics and antipruritics","130300000","Other topical anaesthetic and antipruritic preparations"
"644","Cytotoxic drugs","Other antineoplastic drugs","0801050BA","Pegaspargase"
"645","Antisecretory drugs and mucosal protectants","Proton pump inhibitors","0103050R0","Pantoprazole"
"646","Sympathomimetics and other vasoconstrictor drugs","Vasoconstrictor sympathomimetics","0207020N0","Methoxamine hydrochloride"
"647","Hypertension and heart failure","Adrenergic neurone blocking drugs","0205030N0","Guanethidine monosulfate"
"648","Anti-infective eye preparations","Antibacterials","1103010AL","Hydrocort sodiumphos"
"649","Hypertension and heart failure","Vasodilator antihypertensive drugs","0205010X0","Ambrisentan"
"650","Anaemias and some other blood disorders","Iron-deficiency anaemias","0901012M0","Iron sorbitol"
"651","Drugs used in parkinsonism and related disorders","Essential tremor,chorea,tics and related disorders","0409030B0","Botulinum toxin type A"
"652","Laxatives","Stimulant laxatives","0106020I0","Docusate sodium"
"653","Bronchodilators","Antimuscarinic bronchodilators","0301020Q0","Tiotropium bromide"
"654","CNS stimulants and drugs used for ADHD","CNS stimulants and drugs used for ADHD","0404000R0","Modafinil"
"655","Antibacterial drugs","Penicillins","0501011J0","Benzylpenicillin sodium (Penicillin G)"
"656","Hypertension and heart failure","Renin-angiotensin system drugs","0205051R0","Ramipril"
"657","Anthelmintics","Drugs for threadworms","0505010D0","Mebendazole"
"658","Anaemias and some other blood disorders","Hypoplastic,haemolytic and renal anaemias","0901030P0","Desferrioxamine mesilate"
"659","Oral nutrition","Non-ACBS condition specific complete infant formula","0913356A0","Powder disc or non ACBS pre-thickened formula (0913356)"
"660","Cough preparations","Expectorant and demulcent cough preparations","0309020AA","Ibuprofen/pseudoephedrine hydrochloride"
"661","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010AP","Ibuprofen sodium dihydrate"
"662","General anaesthesia","Sedative and analgesic peri-operative drgs","1501041T0","Midazolam hydrochloride"
"663","Vitamins","Vitamin A","090601100","Other vitamin A preparations 0906011"
"664","Laxatives","Stimulant laxatives","0106020B0","Co-danthramer (Dantron/poloxamer 188)"
"665","Drugs used in the treatment of obesity","Centrally-acting appetite suppressants","0405020S0","Sibutramine"
"666","Hypothalamic and pituitary hormones and anti, oestrogens","Hypothalamic & anterior pituitary hormone & antioestrogens","0605010AB","Follitropin alfa and lutropin alfa"
"667","Sex hormones and hormone antagonists in malignant disease","Hormone antagonists","0803042H0","Flutamide"
"668","Vitamins","Vitamin A","0906011L0","Halibut liver oil"
"669","Vitamins","Vitamin D","0906040K0","Dihydrotachysterol"
"670","Vaccines and antisera","Vaccines and antisera","1404000U0","Yellow fever"
"671","Cytotoxic drugs","Other antineoplastic drugs","0801050CP","Brigatinib"
"672","Antihistamines, hyposensitisation and allergic emergencies","Antihistamines","0304010D0","Loratadine"
"673","Antispasmodics and other drugs altering gut motility","Antispasmodics and other drugs altering gut motility","0102000C0","Alverine citrate compound preparations"
"674","Antihistamines, hyposensitisation and allergic emergencies","Antihistamines","0304010A0","Acrivastine"
"675","Mucolytics","Mucolytics","0307000U0","Tezacaftor/ivacaftor"
"676","Other Appliances","Other Appliances","2101","Other Appliances"
"677","Antiepileptic drugs","Control of epilepsy","0408010G0","Gabapentin"
"678","Drugs used in diabetes","Antidiabetic drugs","0601023AF","Linagliptin/metformin"
"679","Anthelmintics","Drugs for strongyloidiasis","0505080F0","Tiabendazole"
"680","Anti-arrhythmic drugs","Drugs for arrhythmias","0203020U0","Quinidine sulfate"
"681","Jaw Rehabilitation Device","Jaw Rehabilitation Device","2142","Jaw Rehabilitation Device"
"682","Drugs used in rheumatic diseases and gout","Gout and cytotoxic induced hyperuicaemia","1001040C0","Allopurinol"
"683","Oral nutrition","ONS - Standard","0913011D0","Powder 1.4 - 1.6 kcal/ml milkshake with fibre (0913011)"
"684","Laxatives","Bowel cleansing preparations","0106050B0","Bowel cleansing solutions"
"685","Drugs affecting bone metabolism","Bisphosphonates and other drugs","0606020P0","Pamidronate disodium"
"686","Oral nutrition","Non-ACBS follow on formula","0913511A0","Powder OTC follow on formula (0913511)"
"687","Corticosteroids and other anti-inflammatory preparations","Corticosteroids","1104010D0","Betamethasone sodium phosphate"
"688","Fluids and electrolytes","Parent prepn for fluid and electrolyte imb","0902021Q0","Sodium bicarbonate"
"689","Antispasmodics and other drugs altering gut motility","Antispasmodics and other drugs altering gut motility","0102000G0","Cisapride"
"690","Minerals","Selenium","0905050A0","Selenium"
"691","Topical corticosteroids","Topical corticosteroids","1304000H0","Clobetasone butyrate"
"692","Antiviral drugs","Herpesvirus infections","0503022D0","Ganciclovir"
"693","Acne and rosacea","Topical preparations for acne","1306010AC","Trifarotene"
"694","Oral nutrition","ONS - Standard","0913011V0","Ready to serve 2.4 kcal/ml milkshake lower volume (0913011)"
"695","Emollient and barrier preparations","Barrier preparations","130202000","Other barrier preparations"
"696","Lipid-regulating drugs","Lipid-regulating drugs","0212000AC","Simvastatin and ezetimibe"
"697","Oral nutrition","Vit & min supplement - Condition specific","0913284B0","Tablets/capsules micronutrient supplement (0913284)"
"698","Drugs used in rheumatic diseases and gout","Corticosteroids","1001022Y0","Triamcinolone hexacetonide"
"699","Antibacterial drugs","Cephalosporins and other beta-lactams","050102020","Cefpirome sulfate"
"700","Oral nutrition","Non-ACBS ONS","0913311C0","Ready to serve discontinued dessert (0913311)"
"701","Treatment of glaucoma","Treatment of glaucoma","1106000K0","Carteolol hydrochloride"
"702","Oral nutrition","ONS - Condition specific (paed)","0913091A0","Powder 4.6 kcal/g peptide based formula (0913091)"
"703","Anaemias and some other blood disorders","Hypoplastic,haemolytic and renal anaemias","0901030L0","Epoetin delta"
"704","Metabolic disorders","Drugs used in metabolic disorders","0908010AN","Sebelipase alfa"
"705","Cytotoxic drugs","Drugs for cytotoxic-induced side-effects","0801000I0","Calcium folinate"
"706","Drugs acting on the oropharynx","Drugs for oral ulceration and inflammation","1203010E0","Benzydamine hydrochloride"
"707","Antifibrinolytic drugs and haemostatics","Antifibrinolytic drugs and haemostatics","0211000I0","Dried factor VIII fraction"
"708","Drugs used in obstetrics","Prostaglandins and oxytocics","0701010P0","Gemeprost"
"709","Drugs for genito-urinary disorders","Bladder instillations and urological surgery","0704040U0","Noxytiolin"
"710","Drugs acting on the oropharynx","Oropharyngeal anti-infective drugs","1203020J0","Metronidazole"
"711","Oral nutrition","Ketogenic diet","0913181N0","Specialist food replacer 4.3:1 flour type mixes (0913181)"
"712","Antiepileptic drugs","Control of epilepsy","0408010F0","Clonazepam"
"713","Emollient and barrier preparations","Barrier preparations","1302020E0","Zinc oxide"
"714","Thyroid and antithyroid drugs","Thyroid hormones","0602010A0","Thyrotropin alfa"
"715","Acute diarrhoea","Antimotility drugs","0104020D0","Codeine phosphate compound mixtures"
"716","Analgesics","Antimigraine drugs","0407041A0","Analgesics with anti-emetics"
"717","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010N0","Oxypertine"
"718","Shampoos and other preparations for scalp and hair conditions","Shampoo and other preparations for scalp and hair conditions","1309000I0","Ketoconazole"
"719","Skin cleansers,antiseptics and desloughing agents","Chlorine and iodine","1311040L0","Iodoform"
"720","Sunscreens and camouflagers","Sunscreening preparations","1308010Y0","Fluorouracil (Sunscreen)"
"721","Drugs used in rheumatic diseases and gout","Rheumatic disease suppressant drugs","1001030AG","Filgotinib"
"722","Antibacterial drugs","Penicillins","0501014S0","Piperacillin sodium/tazobactam sodium"
"723","Local anaesthesia","Local anaesthetics","1502010Y0","Lidocaine and tetracaine"
"724","Health supplements","Amino acids and nutritional agents","091101000","Other amino acidandnutritional agent preparations"
"725","Minerals","Fluoride","0905030G0","Sodium fluoride"
"726","Antifibrinolytic drugs and haemostatics","Antifibrinolytic drugs and haemostatics","0211000J0","Dried factor IX fraction"
"727","Acids","Acids","190600000","Other acid preparations"
"728","Preparations for warts and calluses","Preparations for warts and calluses","1307000T0","Trichloroacetic acid"
"729","Corticosteroids and other anti-inflammatory preparations","Other anti-inflammatory preparations","110402000","Other anti-inflammatory preparations"
"730","Hypertension and heart failure","Vasodilator antihypertensive drugs","0205010J0","Hydralazine hydrochloride"
"731","Minerals","Phosphorus","0905021S0","Sodium glycerophosphate"
"732","Foods","Foods","090900000","Other food preparations"
"733","Drugs acting on the oropharynx","Lozenges and sprays","1203030T0","Benzalkonium chloride"
"734","Laxatives","Osmotic laxatives","0106040M0","Macrogol 3350"
"735","Drugs for soft-tissue disorders and topical pain relief","Rubefacients, topical NSAIDs, capsaicin and poultices","1003020F0","Benzydamine hydrochloride"
"736","Drugs acting on the ear","Otitis externa","120101040","Dexamethasone sodium metasulphobenzoate"
"737","Urostomy Bags","Urostomy Bags","2396","Urostomy Bags"
"738","Antiviral drugs","HIV infection","0503010Q0","Lamivudine"
"739","Antiviral drugs","HIV infection","0503010AT","Doravirine"
"740","Minerals","Calcium and magnesium","0905011Z0","Hydroxyapatite"
"741","Lipid-regulating drugs","Lipid-regulating drugs","0212000M0","Fluvastatin sodium"
"742","Drugs used in diabetes","Antidiabetic drugs","0601023Y0","Exenatide"
"743","Antidepressant drugs","Other antidepressant drugs","0403040S0","Tryptophan"
"744","Anti-infective eye preparations","Antibacterials","110301020","Chlorhexidine gluconate"
"745","Diuretics","Diuretics with potassium","0202080C0","Bumetanide/potassium"
"746","Sex hormones and hormone antagonists in malignant disease","Hormone antagonists","0803042A0","Bicalutamide"
"747","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010AE","Dexketoprofen"
"748","Oral nutrition","Non-ACBS Inherited metabolic disorder - Protein source","0913621E0","Ready to serve 15g protein equivalent (0913621)"
"749","Hypnotics and anxiolytics","Hypnotics","0401010C0","Cloral betaine"
"750","Enteral nutrition","Tube feed - Condition specific","0914033A0","Tube feed 1 kcal/ml soya based (0914033)"
"751","Antiviral drugs","HIV infection","0503010Y0","Zidovudine"
"752","Oral nutrition","Inherited metabolic disorder - Protein source (paed)","0913222C0","Ready to serve 10g protein equivalent (0913222)"
"753","Cytotoxic drugs","Drugs for cytotoxic-induced side-effects","0801000U0","Calcium levofolinate"
"754","Minerals","Zinc and other minerals","090504800","Other mineral formulation preparations"
"755","Drugs acting on the ear","Otitis externa","1201010C0","Aluminium acetate"
"756","Antibacterial drugs","Urinary-tract infections","0501130R0","Nitrofurantoin"
"757","Miscellaneous ophthalmic preparations","Tear deficiency, eye lubricant and astringent","1108010K0","Sodium chloride"
"758","Cytotoxic drugs","Other antineoplastic drugs","0801050CH","Trametinib"
"759","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010AI","Lurasidone"
"760","Enteral nutrition","Tube feed - Standard","0914011F0","Tube feed 1.2 kcal/ml with fibre, higher protein (0914011)"
"761","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000V0","Promethazine teoclate"
"762","Drugs used in diabetes","Insulin","0601011P0","Insulin glulisine"
"763","Antiviral drugs","Herpesvirus infections","0503021B0","Aciclovir sodium"
"764","Drugs used in diabetes","Antidiabetic drugs","0601023AY","Empagliflozin/linagliptin"
"765","Cytotoxic drugs","Other antineoplastic drugs","0801050BS","Ibrutinib"
"766","Antifungal drugs","Triazole antifungals","0502010B0","Fluconazole"
"767","Local sclerosants","Local sclerosants","0213000T0","Sodium tetradecyl sulphate"
"768","Oral nutrition","Non-ACBS condition specific complete infant formula","0913351A0","Powder discontinued extensively hydrolysed formula (0913351)"
"769","Anticoagulants and protamine","Parenteral anticoagulants","0208010AC","Bemiparin sodium"
"770","Oral nutrition","Inherited metabolic disorder - Protein source (infant)","0913237A0","Powder infant formula (0913237)"
"771","Antihistamines, hyposensitisation and allergic emergencies","Antihistamines","0304010AA","Mizolastine"
"772","Cough preparations","Cough suppressants","0309010Y0","Ephedrine hydrochloride/dextromethorphan hydrobromide"
"773","Cough preparations","Expectorant and demulcent cough preparations","0309020B0","Ammonium bicarbonate"
"774","Antibacterial drugs","Penicillins","0501013L0","Co-fluampicil(Flucloxacillin/ampicillin)"
"775","Corticosteroids and other anti-inflammatory preparations","Corticosteroids","1104010F0","Clobetasone butyrate"
"776","Hypertension and heart failure","Renin-angiotensin system drugs","0205053A0","Aliskiren"
"777","Oral nutrition","Non-ACBS thickener","0913411C0","Liquid disc or non ACBS thickener - gum based (0913411)"
"778","Anaemias and some other blood disorders","Iron-deficiency anaemias","0901011H0","Ferrous gluconate"
"779","Cytotoxic drugs","Other antineoplastic drugs","0801050BL","Bosutinib"
"780","Antifibrinolytic drugs and haemostatics","Antifibrinolytic drugs and haemostatics","0211000U0","Dried factor XIII fraction"
"781","Anti-infective eye preparations","Antivirals","1103030C0","Aciclovir"
