"SECTION_DESCR","BNF_CHEMICAL_SUBSTANCE"
"Antidepressant drugs","0403020H0"
"Antidepressant drugs","0403020K0"
"Antidepressant drugs","0403020M0"
"Antidepressant drugs","0403020Q0"
"Antidepressant drugs","0403030D0"
"Antidepressant drugs","0403030E0"
"Antidepressant drugs","0403030L0"
"Antidepressant drugs","0403030P0"
"Antidepressant drugs","0403030Q0"
"Antidepressant drugs","0403030X0"
"Antidepressant drugs","0403030Z0"
"Antidepressant drugs","040304000"
"Antidepressant drugs","0403040AA"
"Antidepressant drugs","0403040AB"
"Antidepressant drugs","0403040F0"
"Antidepressant drugs","0403040R0"
"Antidepressant drugs","0403040S0"
"Antidepressant drugs","0403040T0"
"Antidepressant drugs","0403040U0"
"Antidepressant drugs","0403040W0"
"Antidepressant drugs","0403040X0"
"Antidepressant drugs","0403040Y0"
"Antidepressant drugs","0403040Z0"
"CNS stimulants and drugs used for ADHD","0404000D0"
"CNS stimulants and drugs used for ADHD","0404000E0"
"CNS stimulants and drugs used for ADHD","0404000L0"
"CNS stimulants and drugs used for ADHD","0404000M0"
"CNS stimulants and drugs used for ADHD","0404000R0"
"CNS stimulants and drugs used for ADHD","0404000S0"
"CNS stimulants and drugs used for ADHD","0404000T0"
"CNS stimulants and drugs used for ADHD","0404000U0"
"CNS stimulants and drugs used for ADHD","0404000V0"
"CNS stimulants and drugs used for ADHD","0404000W0"
"Drugs used in the treatment of obesity","0405010P0"
"Drugs used in the treatment of obesity","0405020N0"
"Drugs used in the treatment of obesity","0405020S0"
"Drugs used in the treatment of obesity","0405020T0"
"Drugs used in the treatment of obesity","0405020U0"
"Drugs used in nausea and vertigo","0406000A0"
"Drugs used in nausea and vertigo","0406000AA"
"Drugs used in nausea and vertigo","0406000AB"
"Drugs used in nausea and vertigo","0406000AC"
"Drugs used in nausea and vertigo","0406000AD"
"Drugs used in nausea and vertigo","0406000AE"
"Drugs used in nausea and vertigo","0406000AF"
"Drugs used in nausea and vertigo","0406000AG"
"Drugs used in nausea and vertigo","0406000AH"
"Drugs used in nausea and vertigo","0406000B0"
"Drugs used in nausea and vertigo","0406000D0"
"Drugs used in nausea and vertigo","0406000E0"
"Drugs used in nausea and vertigo","0406000F0"
"Drugs used in nausea and vertigo","0406000G0"
"Drugs used in nausea and vertigo","0406000H0"
"Drugs used in nausea and vertigo","0406000J0"
"Drugs used in nausea and vertigo","0406000L0"
"Drugs used in nausea and vertigo","0406000M0"
"Drugs used in nausea and vertigo","0406000N0"
"Drugs used in nausea and vertigo","0406000P0"
"Drugs used in nausea and vertigo","0406000R0"
"Drugs used in nausea and vertigo","0406000S0"
"Drugs used in nausea and vertigo","0406000T0"
"Drugs used in nausea and vertigo","0406000U0"
"Drugs used in nausea and vertigo","0406000V0"
"Drugs used in nausea and vertigo","0406000W0"
"Drugs used in nausea and vertigo","0406000Y0"
"Drugs used in nausea and vertigo","0406000Z0"
"Analgesics","040701000"
"Analgesics","040701020"
"Analgesics","0407010A0"
"Analgesics","0407010AA"
"Analgesics","0407010AB"
"Analgesics","0407010AC"
"Analgesics","0407010AD"
"Analgesics","0407010B0"
"Analgesics","0407010F0"
"Analgesics","0407010H0"
"Analgesics","0407010M0"
"Analgesics","0407010N0"
"Analgesics","0407010P0"
"Analgesics","0407010Q0"
"Analgesics","0407010S0"
"Analgesics","0407010U0"
"Analgesics","0407010W0"
"Analgesics","0407010X0"
"Analgesics","040702020"
"Analgesics","040702040"
"Analgesics","040702050"
"Analgesics","0407020A0"
"Analgesics","0407020AB"
"Analgesics","0407020AD"
"Analgesics","0407020AF"
"Analgesics","0407020AG"
"Analgesics","0407020B0"
"Analgesics","0407020C0"
"Analgesics","0407020D0"
"Analgesics","0407020E0"
"Analgesics","0407020G0"
"Analgesics","0407020H0"
"Analgesics","0407020K0"
"Analgesics","0407020L0"
"Analgesics","0407020M0"
"Analgesics","0407020P0"
"Analgesics","0407020Q0"
"Analgesics","0407020T0"
"Analgesics","0407020U0"
"Analgesics","0407020V0"
"Analgesics","0407020W0"
"Analgesics","0407020Y0"
"Analgesics","0407020Z0"
"Analgesics","0407030AD"
"Analgesics","0407030AF"
"Analgesics","0407041A0"
"Analgesics","0407041AA"
"Analgesics","0407041AB"
"Analgesics","0407041AD"
"Analgesics","0407041B0"
"Analgesics","0407041F0"
"Analgesics","0407041M0"
"Analgesics","0407041R0"
"Analgesics","0407041T0"
"Analgesics","0407041U0"
"Analgesics","0407041Z0"
"Analgesics","0407042F0"
"Analgesics","0407042L0"
"Analgesics","0407042Q0"
"Analgesics","0407042R0"
"Analgesics","0407042S0"
"Analgesics","0407042T0"
"Analgesics","0407042U0"
"Antiepileptic drugs","040801020"
"Antiepileptic drugs","040801050"
"Antiepileptic drugs","040801060"
"Antiepileptic drugs","0408010A0"
"Antiepileptic drugs","0408010AA"
"Antiepileptic drugs","0408010AB"
"Antiepileptic drugs","0408010AD"
"Antiepileptic drugs","0408010AE"
"Antiepileptic drugs","0408010AF"
"Antiepileptic drugs","0408010AG"
"Antiepileptic drugs","0408010AH"
"Antiepileptic drugs","0408010AI"
"Antiepileptic drugs","0408010AJ"
"Antiepileptic drugs","0408010AK"
"Antiepileptic drugs","0408010AL"
"Antiepileptic drugs","0408010AM"
"Antiepileptic drugs","0408010AN"
"Antiepileptic drugs","0408010C0"
"Antiepileptic drugs","0408010D0"
"Antiepileptic drugs","0408010F0"
"Antiepileptic drugs","0408010G0"
"Antiepileptic drugs","0408010H0"
"Antiepileptic drugs","0408010I0"
"Antiepileptic drugs","0408010K0"
"Antiepileptic drugs","0408010N0"
"Antiepileptic drugs","0408010P0"
"Antiepileptic drugs","0408010Q0"
"Antiepileptic drugs","0408010U0"
"Antiepileptic drugs","0408010W0"
"Antiepileptic drugs","0408010X0"
"Antiepileptic drugs","0408010Y0"
"Antiepileptic drugs","0408010Z0"
"Antiepileptic drugs","0408020D0"
"Antiepileptic drugs","0408020Q0"
"Antiepileptic drugs","0408020T0"
"Antiepileptic drugs","0408020U0"
"Antiepileptic drugs","0408020V0"
"Antiepileptic drugs","0408020W0"
"Drugs used in parkinsonism and related disorders","0409010A0"
"Drugs used in parkinsonism and related disorders","0409010AA"
"Drugs used in parkinsonism and related disorders","0409010AB"
"Drugs used in parkinsonism and related disorders","0409010AC"
"Drugs used in parkinsonism and related disorders","0409010B0"
"Drugs used in parkinsonism and related disorders","0409010D0"
"Drugs used in parkinsonism and related disorders","0409010H0"
"Drugs used in parkinsonism and related disorders","0409010I0"
"Drugs used in parkinsonism and related disorders","0409010K0"
"Drugs used in parkinsonism and related disorders","0409010L0"
"Drugs used in parkinsonism and related disorders","0409010N0"
"Drugs used in parkinsonism and related disorders","0409010P0"
"Drugs used in parkinsonism and related disorders","0409010S0"
"Drugs used in parkinsonism and related disorders","0409010T0"
"Drugs used in parkinsonism and related disorders","0409010U0"
"Drugs used in parkinsonism and related disorders","0409010V0"
"Drugs used in parkinsonism and related disorders","0409010W0"
"Drugs used in parkinsonism and related disorders","0409010X0"
"Drugs used in parkinsonism and related disorders","0409010Y0"
"Drugs used in parkinsonism and related disorders","0409010Z0"
"Drugs used in parkinsonism and related disorders","0409020C0"
"Drugs used in parkinsonism and related disorders","0409020E0"
"Drugs used in parkinsonism and related disorders","0409020G0"
"Drugs used in parkinsonism and related disorders","0409020N0"
"Drugs used in parkinsonism and related disorders","0409020S0"
"Drugs used in parkinsonism and related disorders","0409030A0"
"Drugs used in parkinsonism and related disorders","0409030B0"
"Drugs used in parkinsonism and related disorders","0409030C0"
"Drugs used in parkinsonism and related disorders","0409030P0"
"Drugs used in parkinsonism and related disorders","0409030R0"
"Drugs used in parkinsonism and related disorders","0409030S0"
"Drugs used in substance dependence","0410010A0"
"Drugs used in substance dependence","0410010B0"
"Drugs used in substance dependence","0410010D0"
"Drugs used in substance dependence","0410020A0"
"Drugs used in substance dependence","0410020B0"
"Drugs used in substance dependence","0410020C0"
"Drugs used in substance dependence","0410020D0"
"Drugs used in substance dependence","0410020E0"
"Drugs used in substance dependence","0410030A0"
"Drugs used in substance dependence","0410030B0"
"Drugs used in substance dependence","0410030C0"
"Drugs used in substance dependence","0410030D0"
"Drugs used in substance dependence","0410030E0"
"Drugs for dementia","0411000D0"
"Drugs for dementia","0411000E0"
"Drugs for dementia","0411000F0"
"Drugs for dementia","0411000G0"
"Antibacterial drugs","0501011J0"
"Antibacterial drugs","0501011P0"
"Antibacterial drugs","0501012G0"
"Antibacterial drugs","0501012H0"
"Antibacterial drugs","0501012U0"
"Antibacterial drugs","0501013B0"
"Antibacterial drugs","0501013C0"
"Antibacterial drugs","0501013E0"
"Antibacterial drugs","0501013K0"
"Antibacterial drugs","0501013L0"
"Antibacterial drugs","0501014N0"
"Antibacterial drugs","0501014S0"
"Antibacterial drugs","0501015P0"
"Antibacterial drugs","050102020"
"Antibacterial drugs","0501020AA"
"Antibacterial drugs","0501020AD"
"Antibacterial drugs","0501020T0"
"Antibacterial drugs","0501020V0"
"Antibacterial drugs","0501021A0"
"Antibacterial drugs","0501021B0"
"Antibacterial drugs","0501021C0"
"Antibacterial drugs","0501021D0"
"Antibacterial drugs","0501021E0"
"Antibacterial drugs","0501021F0"
"Antibacterial drugs","0501021G0"
"Antibacterial drugs","0501021H0"
"Antibacterial drugs","0501021J0"
"Antibacterial drugs","0501021K0"
"Antibacterial drugs","0501021L0"
"Antibacterial drugs","0501021M0"
"Antibacterial drugs","0501022A0"
"Antibacterial drugs","0501022B0"
"Antibacterial drugs","0501022C0"
"Antibacterial drugs","0501022D0"
"Antibacterial drugs","0501023A0"
"Antibacterial drugs","0501024A0"
"Antibacterial drugs","0501030F0"
"Antibacterial drugs","0501030I0"
"Antibacterial drugs","0501030L0"
"Antibacterial drugs","0501030P0"
"Antibacterial drugs","0501030T0"
"Antibacterial drugs","0501030V0"
"Antibacterial drugs","0501030X0"
"Antibacterial drugs","0501030Y0"
"Antibacterial drugs","0501030Z0"
"Antibacterial drugs","0501040C0"
"Antibacterial drugs","0501040H0"
"Antibacterial drugs","0501040N0"
"Antibacterial drugs","0501040R0"
"Antibacterial drugs","0501040U0"
"Antibacterial drugs","0501050A0"
"Antibacterial drugs","0501050B0"
"Antibacterial drugs","0501050C0"
"Antibacterial drugs","0501050H0"
"Antibacterial drugs","0501050K0"
"Antibacterial drugs","0501050N0"
"Antibacterial drugs","0501050T0"
"Antibacterial drugs","0501060D0"
"Antibacterial drugs","0501060E0"
"Antibacterial drugs","0501070AA"
"Antibacterial drugs","0501070AB"
"Antibacterial drugs","0501070AC"
"Antibacterial drugs","0501070AD"
"Antibacterial drugs","0501070AE"
"Antibacterial drugs","0501070AF"
"Antibacterial drugs","0501070F0"
"Antibacterial drugs","0501070H0"
"Antibacterial drugs","0501070I0"
"Antibacterial drugs","0501070M0"
"Antibacterial drugs","0501070N0"
"Antibacterial drugs","0501070T0"
"Antibacterial drugs","0501070U0"
"Antibacterial drugs","0501070V0"
"Antibacterial drugs","0501070W0"
"Antibacterial drugs","0501070X0"
"Antibacterial drugs","0501070Y0"
"Antibacterial drugs","0501070Z0"
"Antibacterial drugs","0501080D0"
"Antibacterial drugs","0501080J0"
"Antibacterial drugs","0501080T0"
"Antibacterial drugs","0501080V0"
"Antibacterial drugs","0501080W0"
"Antibacterial drugs","0501090A0"
"Antibacterial drugs","0501090C0"
"Antibacterial drugs","0501090E0"
"Antibacterial drugs","0501090H0"
"Antibacterial drugs","0501090I0"
"Antibacterial drugs","0501090K0"
"Antibacterial drugs","0501090N0"
"Antibacterial drugs","0501090Q0"
"Antibacterial drugs","0501090R0"
"Antibacterial drugs","0501090S0"
"Antibacterial drugs","0501090U0"
"Antibacterial drugs","0501090V0"
"Antibacterial drugs","0501090W0"
"Antibacterial drugs","0501090X0"
"Antibacterial drugs","0501100C0"
"Antibacterial drugs","0501100H0"
"Antibacterial drugs","0501100J0"
"Antibacterial drugs","0501110C0"
"Antibacterial drugs","0501110G0"
"Antibacterial drugs","0501120L0"
"Antibacterial drugs","0501120N0"
"Antibacterial drugs","0501120P0"
"Antibacterial drugs","0501120Q0"
"Antibacterial drugs","0501120X0"
"Antibacterial drugs","0501120Y0"
"Antibacterial drugs","0501130H0"
"Antibacterial drugs","0501130R0"
"Antibacterial drugs","0501130S0"
"Antifungal drugs","0502010A0"
"Antifungal drugs","0502010B0"
"Antifungal drugs","0502010C0"
"Antifungal drugs","0502010D0"
"Antifungal drugs","0502010E0"
"Antifungal drugs","0502020A0"
"Antifungal drugs","0502030A0"
"Antifungal drugs","0502030B0"
"Antifungal drugs","0502040A0"
"Antifungal drugs","0502040B0"
"Antifungal drugs","0502040C0"
"Antifungal drugs","0502050B0"
"Antifungal drugs","0502050C0"
"Antiviral drugs","050301000"
"Antiviral drugs","0503010A0"
"Antiviral drugs","0503010AA"
"Antiviral drugs","0503010AB"
"Antiviral drugs","0503010AC"
"Antiviral drugs","0503010AD"
"Antiviral drugs","0503010AE"
"Antiviral drugs","0503010AF"
"Antiviral drugs","0503010AG"
"Antiviral drugs","0503010AH"
"Antiviral drugs","0503010AI"
"Antiviral drugs","0503010AJ"
"Antiviral drugs","0503010AK"
"Antiviral drugs","0503010AL"
"Antiviral drugs","0503010AM"
"Antiviral drugs","0503010AN"
"Antiviral drugs","0503010AP"
"Antiviral drugs","0503010AQ"
"Antiviral drugs","0503010AS"
"Antiviral drugs","0503010AT"
"Antiviral drugs","0503010AU"
"Antiviral drugs","0503010AV"
"Antiviral drugs","0503010AW"
"Antiviral drugs","0503010AX"
"Antiviral drugs","0503010AY"
"Antiviral drugs","0503010AZ"
"Antiviral drugs","0503010B0"
"Antiviral drugs","0503010C0"
"Antiviral drugs","0503010D0"
"Antiviral drugs","0503010E0"
"Antiviral drugs","0503010F0"
"Antiviral drugs","0503010G0"
"Antiviral drugs","0503010H0"
"Antiviral drugs","0503010I0"
"Antiviral drugs","0503010J0"
"Antiviral drugs","0503010K0"
"Antiviral drugs","0503010L0"
"Antiviral drugs","0503010M0"
"Antiviral drugs","0503010N0"
"Antiviral drugs","0503010Q0"
"Antiviral drugs","0503010R0"
"Antiviral drugs","0503010S0"
"Antiviral drugs","0503010T0"
"Antiviral drugs","0503010U0"
"Antiviral drugs","0503010X0"
"Antiviral drugs","0503010Y0"
"Antiviral drugs","0503010Z0"
"Antiviral drugs","0503021A0"
"Antiviral drugs","0503021B0"
"Antiviral drugs","0503021C0"
"Antiviral drugs","0503021D0"
"Antiviral drugs","0503021E0"
"Antiviral drugs","0503022B0"
"Antiviral drugs","0503022C0"
"Antiviral drugs","0503022D0"
"Antiviral drugs","0503022E0"
"Antiviral drugs","0503022F0"
"Antiviral drugs","0503031A0"
"Antiviral drugs","0503031B0"
"Antiviral drugs","0503031C0"
"Antiviral drugs","0503031D0"
"Antiviral drugs","0503032A0"
"Antiviral drugs","0503032B0"
"Antiviral drugs","0503032C0"
"Antiviral drugs","0503032D0"
"Antiviral drugs","0503032E0"
"Antiviral drugs","0503032F0"
"Antiviral drugs","0503032G0"
"Antiviral drugs","0503032H0"
"Antiviral drugs","0503032I0"
"Antiviral drugs","0503032J0"
"Antiviral drugs","0503032K0"
"Antiviral drugs","0503032L0"
"Antiviral drugs","0503040A0"
"Antiviral drugs","0503040B0"
"Antiviral drugs","0503040C0"
"Antiviral drugs","0503040D0"
"Antiviral drugs","0503050A0"
"Antiviral drugs","0503050B0"
"Antiviral drugs","0503060A0"
"Antiviral drugs","0503060B0"
"Antiprotozoal drugs","0504010AA"
"Antiprotozoal drugs","0504010AB"
"Antiprotozoal drugs","0504010F0"
"Antiprotozoal drugs","0504010G0"
"Antiprotozoal drugs","0504010K0"
"Antiprotozoal drugs","0504010L0"
"Antiprotozoal drugs","0504010M0"
"Antiprotozoal drugs","0504010N0"
"Antiprotozoal drugs","0504010P0"
"Antiprotozoal drugs","0504010Q0"
"Antiprotozoal drugs","0504010T0"
"Antiprotozoal drugs","0504010U0"
"Antiprotozoal drugs","0504010V0"
"Antiprotozoal drugs","0504010X0"
"Antiprotozoal drugs","0504010Y0"
"Antiprotozoal drugs","0504010Z0"
"Antiprotozoal drugs","0504020G0"
"Antiprotozoal drugs","0504040M0"
"Antiprotozoal drugs","0504050S0"
"Antiprotozoal drugs","0504050T0"
"Antiprotozoal drugs","0504060A0"
"Antiprotozoal drugs","0504060B0"
"Antiprotozoal drugs","0504080A0"
"Antiprotozoal drugs","0504080P0"
"Anthelmintics","0505010D0"
"Anthelmintics","0505010H0"
"Anthelmintics","0505020L0"
"Anthelmintics","0505030A0"
"Anthelmintics","0505050P0"
"Anthelmintics","0505060I0"
"Anthelmintics","0505080F0"
"Drugs used in diabetes","0601011A0"
"Drugs used in diabetes","0601011L0"
"Drugs used in diabetes","0601011N0"
"Drugs used in diabetes","0601011P0"
"Drugs used in diabetes","0601011Q0"
"Drugs used in diabetes","0601011R0"
"Drugs used in diabetes","0601012AB"
"Drugs used in diabetes","0601012D0"
"Drugs used in diabetes","0601012F0"
"Drugs used in diabetes","0601012G0"
"Drugs used in diabetes","0601012N0"
"Drugs used in diabetes","0601012S0"
"Drugs used in diabetes","0601012U0"
"Drugs used in diabetes","0601012V0"
"Drugs used in diabetes","0601012W0"
"Drugs used in diabetes","0601012X0"
"Drugs used in diabetes","0601012Z0"
"Drugs used in diabetes","0601021A0"
"Drugs used in diabetes","0601021E0"
"Drugs used in diabetes","0601021H0"
"Drugs used in diabetes","0601021M0"
"Drugs used in diabetes","0601021P0"
"Drugs used in diabetes","0601021R0"
"Drugs used in diabetes","0601021X0"
"Drugs used in diabetes","0601022B0"
"Drugs used in diabetes","0601023A0"
"Drugs used in diabetes","0601023AA"
"Drugs used in diabetes","0601023AB"
"Drugs used in diabetes","0601023AC"
"Drugs used in diabetes","0601023AD"
"Drugs used in diabetes","0601023AE"
"Drugs used in diabetes","0601023AF"
"Drugs used in diabetes","0601023AG"
"Drugs used in diabetes","0601023AH"
"Drugs used in diabetes","0601023AI"
"Drugs used in diabetes","0601023AJ"
"Drugs used in diabetes","0601023AK"
"Drugs used in diabetes","0601023AL"
"Drugs used in diabetes","0601023AM"
"Drugs used in diabetes","0601023AN"
"Drugs used in diabetes","0601023AP"
"Drugs used in diabetes","0601023AQ"
"Drugs used in diabetes","0601023AR"
"Drugs used in diabetes","0601023AS"
"Drugs used in diabetes","0601023AU"
"Drugs used in diabetes","0601023AV"
"Drugs used in diabetes","0601023AW"
"Drugs used in diabetes","0601023AX"
"Drugs used in diabetes","0601023AY"
"Drugs used in diabetes","0601023AZ"
"Drugs used in diabetes","0601023B0"
"Drugs used in diabetes","0601023I0"
"Drugs used in diabetes","0601023R0"
"Drugs used in diabetes","0601023S0"
"Drugs used in diabetes","0601023U0"
"Drugs used in diabetes","0601023V0"
"Drugs used in diabetes","0601023W0"
"Drugs used in diabetes","0601023X0"
"Drugs used in diabetes","0601023Y0"
"Drugs used in diabetes","0601023Z0"
"Drugs used in diabetes","0601040E0"
"Drugs used in diabetes","0601040H0"
"Drugs used in diabetes","0601040I0"
"Drugs used in diabetes","060106000"
"Drugs used in diabetes","0601060D0"
"Drugs used in diabetes","0601060U0"
"Drugs used in diabetes","0601060W0"
"Drugs used in diabetes","0601060X0"
"Thyroid and antithyroid drugs","0602010A0"
"Thyroid and antithyroid drugs","0602010M0"
"Thyroid and antithyroid drugs","0602010V0"
"Thyroid and antithyroid drugs","0602010Z0"
"Thyroid and antithyroid drugs","0602020D0"
"Thyroid and antithyroid drugs","0602020G0"
"Thyroid and antithyroid drugs","0602020H0"
"Thyroid and antithyroid drugs","0602020I0"
"Thyroid and antithyroid drugs","0602020N0"
"Corticosteroids (endocrine)","0603010I0"
"Corticosteroids (endocrine)","0603020AA"
"Corticosteroids (endocrine)","0603020AC"
"Corticosteroids (endocrine)","0603020B0"
"Corticosteroids (endocrine)","0603020C0"
"Corticosteroids (endocrine)","0603020F0"
"Corticosteroids (endocrine)","0603020G0"
"Corticosteroids (endocrine)","0603020H0"
"Corticosteroids (endocrine)","0603020I0"
"Corticosteroids (endocrine)","0603020J0"
"Corticosteroids (endocrine)","0603020K0"
"Corticosteroids (endocrine)","0603020L0"
"Corticosteroids (endocrine)","0603020M0"
"Corticosteroids (endocrine)","0603020S0"
"Corticosteroids (endocrine)","0603020T0"
"Corticosteroids (endocrine)","0603020X0"
"Corticosteroids (endocrine)","0603020Z0"
"Sex Hormones","0604011AD"
"Sex Hormones","0604011D0"
"Sex Hormones","0604011G0"
"Sex Hormones","0604011H0"
"Sex Hormones","0604011J0"
"Sex Hormones","0604011K0"
"Sex Hormones","0604011L0"
"Sex Hormones","0604011M0"
"Sex Hormones","0604011N0"
"Sex Hormones","0604011P0"
"Sex Hormones","0604011Q0"
"Sex Hormones","0604011R0"
"Sex Hormones","0604011X0"
"Sex Hormones","0604011Y0"
"Sex Hormones","0604012F0"
"Sex Hormones","0604012J0"
"Sex Hormones","0604012M0"
"Sex Hormones","0604012P0"
"Sex Hormones","0604012S0"
"Sex Hormones","0604012U0"
"Sex Hormones","0604012V0"
"Sex Hormones","0604012W0"
"Sex Hormones","060402000"
"Sex Hormones","0604020B0"
"Sex Hormones","0604020C0"
"Sex Hormones","0604020D0"
"Sex Hormones","0604020F0"
"Sex Hormones","0604020H0"
"Sex Hormones","0604020K0"
"Sex Hormones","0604020M0"
"Sex Hormones","0604020P0"
"Sex Hormones","0604020T0"
"Sex Hormones","0604020U0"
"Sex Hormones","0604030L0"
"Sex Hormones","0604030P0"
"Sex Hormones","0604030Q0"
"Sex Hormones","0604030S0"
"Sex Hormones","0604030T0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010AB"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010AC"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010AD"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010AF"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010AG"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010AH"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010D0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010G0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010I0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010J0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010K0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010M0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010N0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010P0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010R0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010S0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010T0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010U0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010X0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010Y0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605010Z0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605020E0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605020T0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605020W0"
"Hypothalamic and pituitary hormones and anti, oestrogens","0605020Y0"
"Drugs affecting bone metabolism","0606010T0"
"Drugs affecting bone metabolism","0606010U0"
"Drugs affecting bone metabolism","0606010V0"
"Drugs affecting bone metabolism","060602000"
"Drugs affecting bone metabolism","0606020A0"
"Drugs affecting bone metabolism","0606020AA"
"Drugs affecting bone metabolism","0606020C0"
"Drugs affecting bone metabolism","0606020P0"
"Drugs affecting bone metabolism","0606020R0"
"Drugs affecting bone metabolism","0606020T0"
"Drugs affecting bone metabolism","0606020U0"
"Drugs affecting bone metabolism","0606020V0"
"Drugs affecting bone metabolism","0606020W0"
"Drugs affecting bone metabolism","0606020X0"
"Drugs affecting bone metabolism","0606020Y0"
"Drugs affecting bone metabolism","0606020Z0"
"Other endocrine drugs","0607010B0"
"Other endocrine drugs","0607010C0"
"Other endocrine drugs","0607010T0"
"Other endocrine drugs","0607020B0"
"Other endocrine drugs","0607020C0"
"Other endocrine drugs","0607020D0"
"Other endocrine drugs","0607020F0"
"Other endocrine drugs","0607020P0"
"Other endocrine drugs","0607020W0"
"Other endocrine drugs","0607020X0"
"Other endocrine drugs","0607020Y0"
"Other endocrine drugs","0607030M0"
"Other endocrine drugs","0607030T0"
"Other endocrine drugs","0607040A0"
"Other endocrine drugs","0607050A0"
"Drugs used in obstetrics","0701010D0"
"Drugs used in obstetrics","0701010I0"
"Drugs used in obstetrics","0701010L0"
"Drugs used in obstetrics","0701010P0"
"Drugs used in obstetrics","0701010T0"
"Drugs used in obstetrics","0701010W0"
"Drugs used in obstetrics","0701010X0"
"Drugs used in obstetrics","0701011D0"
"Drugs used in obstetrics","0701011E0"
"Drugs used in obstetrics","0701011F0"
"Drugs used in obstetrics","0701020K0"
"Drugs used in obstetrics","0701021A0"
"Drugs used in obstetrics","0701030S0"
"Drugs used in obstetrics","0701030V0"
"Treatment of vaginal and vulval conditions","070201000"
"Treatment of vaginal and vulval conditions","0702010F0"
"Treatment of vaginal and vulval conditions","0702010G0"
"Treatment of vaginal and vulval conditions","0702010I0"
"Treatment of vaginal and vulval conditions","0702010L0"
"Treatment of vaginal and vulval conditions","0702010M0"
"Treatment of vaginal and vulval conditions","0702020AA"
"Treatment of vaginal and vulval conditions","0702020B0"
"Treatment of vaginal and vulval conditions","0702020E0"
"Treatment of vaginal and vulval conditions","0702020F0"
"Treatment of vaginal and vulval conditions","0702020H0"
"Treatment of vaginal and vulval conditions","0702020I0"
"Treatment of vaginal and vulval conditions","0702020P0"
"Treatment of vaginal and vulval conditions","0702020T0"
"Treatment of vaginal and vulval conditions","0702020V0"
"Treatment of vaginal and vulval conditions","0702020W0"
"Treatment of vaginal and vulval conditions","0702020X0"
"Treatment of vaginal and vulval conditions","0702020Y0"
"Treatment of vaginal and vulval conditions","0702020Z0"
"Contraceptives","0703010E0"
"Contraceptives","0703010F0"
"Contraceptives","0703010G0"
"Contraceptives","0703010H0"
"Contraceptives","0703010M0"
"Contraceptives","0703010P0"
"Contraceptives","0703010R0"
"Contraceptives","0703010S0"
"Contraceptives","0703010T0"
"Contraceptives","0703011A0"
"Contraceptives","0703021C0"
"Contraceptives","0703021L0"
"Contraceptives","0703021N0"
"Contraceptives","0703021P0"
"Contraceptives","0703021Q0"
"Contraceptives","0703021R0"
"Contraceptives","0703022M0"
"Contraceptives","0703022N0"
"Contraceptives","0703022P0"
"Contraceptives","0703023L0"
"Contraceptives","0703030G0"
"Contraceptives","0703050A0"
"Contraceptives","0703050B0"
"Drugs for genito-urinary disorders","0704010A0"
"Drugs for genito-urinary disorders","0704010C0"
"Drugs for genito-urinary disorders","0704010I0"
"Drugs for genito-urinary disorders","0704010M0"
"Drugs for genito-urinary disorders","0704010T0"
"Drugs for genito-urinary disorders","0704010U0"
"Drugs for genito-urinary disorders","0704010V0"
"Drugs for genito-urinary disorders","0704010W0"
"Drugs for genito-urinary disorders","0704020AA"
"Drugs for genito-urinary disorders","0704020AB"
"Drugs for genito-urinary disorders","0704020AC"
"Drugs for genito-urinary disorders","0704020AD"
"Drugs for genito-urinary disorders","0704020AE"
"Drugs for genito-urinary disorders","0704020AF"
"Drugs for genito-urinary disorders","0704020G0"
"Drugs for genito-urinary disorders","0704020J0"
"Drugs for genito-urinary disorders","0704020N0"
"Drugs for genito-urinary disorders","0704020P0"
"Drugs for genito-urinary disorders","0704020Z0"
"Drugs for genito-urinary disorders","070403000"
"Drugs for genito-urinary disorders","0704030A0"
"Drugs for genito-urinary disorders","0704030C0"
"Drugs for genito-urinary disorders","0704030G0"
"Drugs for genito-urinary disorders","0704030J0"
